parcode,trial,fix_item,fix_time,rt,block
1,40,0,232.0,4261.735,LESS
1,40,1,1008.0,4261.735,LESS
1,40,2,956.0,4261.735,LESS
1,40,1,1030.0,4261.735,LESS
1,40,2,642.0,4261.735,LESS
1,40,1,393.7349999999997,4261.735,LESS
1,41,0,511.0,3559.258,LESS
1,41,1,706.0,3559.258,LESS
1,41,2,640.0,3559.258,LESS
1,41,1,790.0,3559.258,LESS
1,41,2,912.2579999999998,3559.258,LESS
1,42,0,434.0,3754.4640000000004,LESS
1,42,1,1030.0,3754.4640000000004,LESS
1,42,2,764.0,3754.4640000000004,LESS
1,42,1,384.0,3754.4640000000004,LESS
1,42,0,440.0,3754.4640000000004,LESS
1,42,2,702.4640000000004,3754.4640000000004,LESS
1,43,0,226.0,2431.751,LESS
1,43,1,1072.0,2431.751,LESS
1,43,2,796.0,2431.751,LESS
1,43,1,337.7510000000002,2431.751,LESS
1,44,0,3.0,2199.342,LESS
1,44,1,1232.0,2199.342,LESS
1,44,2,654.0,2199.342,LESS
1,44,1,310.3420000000001,2199.342,LESS
1,45,0,198.0,3269.922,LESS
1,45,1,1028.0,3269.922,LESS
1,45,2,1122.0,3269.922,LESS
1,45,1,921.922,3269.922,LESS
1,46,0,235.0,6606.698,LESS
1,46,1,766.0,6606.698,LESS
1,46,0,198.0,6606.698,LESS
1,46,2,792.0,6606.698,LESS
1,46,1,1062.0,6606.698,LESS
1,46,2,784.0,6606.698,LESS
1,46,1,1548.0,6606.698,LESS
1,46,2,876.0,6606.698,LESS
1,46,1,345.6980000000003,6606.698,LESS
1,47,0,189.0,3642.1459999999997,LESS
1,47,1,1386.0,3642.1459999999997,LESS
1,47,0,244.0,3642.1459999999997,LESS
1,47,2,962.0,3642.1459999999997,LESS
1,47,1,542.0,3642.1459999999997,LESS
1,47,2,319.14599999999973,3642.1459999999997,LESS
1,48,0,487.0,5213.48,LESS
1,48,1,1062.0,5213.48,LESS
1,48,2,952.0,5213.48,LESS
1,48,1,786.0,5213.48,LESS
1,48,2,974.0,5213.48,LESS
1,48,1,398.0,5213.48,LESS
1,48,2,554.4799999999996,5213.48,LESS
1,49,0,239.0,5511.334,LESS
1,49,1,802.0,5511.334,LESS
1,49,2,858.0,5511.334,LESS
1,49,1,802.0,5511.334,LESS
1,49,2,1016.0,5511.334,LESS
1,49,1,698.0,5511.334,LESS
1,49,2,1096.3339999999998,5511.334,LESS
1,50,0,227.0,2007.957,LESS
1,50,1,732.0,2007.957,LESS
1,50,2,644.0,2007.957,LESS
1,50,1,404.95700000000033,2007.957,LESS
1,51,0,56.0,3124.5209999999997,LESS
1,51,1,962.0,3124.5209999999997,LESS
1,51,2,726.0,3124.5209999999997,LESS
1,51,1,1008.0,3124.5209999999997,LESS
1,51,2,372.52099999999973,3124.5209999999997,LESS
1,52,0,215.0,1978.076,LESS
1,52,1,640.0,1978.076,LESS
1,52,2,696.0,1978.076,LESS
1,52,1,427.076,1978.076,LESS
1,53,3,119.0,1978.076,LESS
1,53,1,764.0,2508.548,LESS
1,53,2,586.0,2508.548,LESS
1,53,1,638.0,2508.548,LESS
1,53,2,401.5479999999998,2508.548,LESS
1,54,0,243.0,3907.2459999999996,LESS
1,54,1,596.0,3907.2459999999996,LESS
1,54,2,724.0,3907.2459999999996,LESS
1,54,1,778.0,3907.2459999999996,LESS
1,54,2,786.0,3907.2459999999996,LESS
1,54,1,384.0,3907.2459999999996,LESS
1,54,2,396.24599999999964,3907.2459999999996,LESS
1,55,0,4.0,3482.062,LESS
1,55,1,1182.0,3482.062,LESS
1,55,2,1050.0,3482.062,LESS
1,55,1,832.0,3482.062,LESS
1,55,2,414.0619999999999,3482.062,LESS
1,56,0,177.0,1823.3770000000002,LESS
1,56,1,594.0,1823.3770000000002,LESS
1,56,2,610.0,1823.3770000000002,LESS
1,56,1,442.3770000000002,1823.3770000000002,LESS
1,57,0,205.0,5111.944,LESS
1,57,1,2038.0,5111.944,LESS
1,57,2,736.0,5111.944,LESS
1,57,1,760.0,5111.944,LESS
1,57,2,608.0,5111.944,LESS
1,57,1,764.9440000000004,5111.944,LESS
1,58,0,49.0,4920.474,LESS
1,58,1,860.0,4920.474,LESS
1,58,2,750.0,4920.474,LESS
1,58,1,2154.0,4920.474,LESS
1,58,2,736.0,4920.474,LESS
1,58,1,371.47400000000016,4920.474,LESS
1,59,0,189.0,1869.935,LESS
1,59,1,596.0,1869.935,LESS
1,59,2,642.0,1869.935,LESS
1,59,1,442.93499999999995,1869.935,LESS
1,60,0,149.0,1705.8110000000001,LESS
1,60,1,574.0,1705.8110000000001,LESS
1,60,2,566.0,1705.8110000000001,LESS
1,60,1,416.81100000000015,1705.8110000000001,LESS
1,61,0,285.0,3083.54,LESS
1,61,1,902.0,3083.54,LESS
1,61,2,738.0,3083.54,LESS
1,61,1,1158.54,3083.54,LESS
1,62,0,234.0,2474.714,LESS
1,62,1,982.0,2474.714,LESS
1,62,2,800.0,2474.714,LESS
1,62,1,458.71399999999994,2474.714,LESS
1,63,0,46.0,2272.349,LESS
1,63,1,836.0,2272.349,LESS
1,63,2,878.0,2272.349,LESS
1,63,1,512.3490000000002,2272.349,LESS
1,64,0,214.0,3790.48,LESS
1,64,1,814.0,3790.48,LESS
1,64,2,754.0,3790.48,LESS
1,64,1,940.0,3790.48,LESS
1,64,2,800.0,3790.48,LESS
1,64,1,268.48,3790.48,LESS
1,65,0,264.0,2046.0620000000001,LESS
1,65,1,712.0,2046.0620000000001,LESS
1,65,2,640.0,2046.0620000000001,LESS
1,65,1,430.0619999999999,2046.0620000000001,LESS
1,66,0,148.0,3822.2509999999997,LESS
1,66,1,896.0,3822.2509999999997,LESS
1,66,2,844.0,3822.2509999999997,LESS
1,66,1,826.0,3822.2509999999997,LESS
1,66,2,1108.2509999999997,3822.2509999999997,LESS
1,67,0,182.0,3347.54,LESS
1,67,1,786.0,3347.54,LESS
1,67,2,638.0,3347.54,LESS
1,67,1,892.0,3347.54,LESS
1,67,2,464.0,3347.54,LESS
1,67,1,385.53999999999996,3347.54,LESS
1,68,0,197.0,2252.245,LESS
1,68,1,1068.0,2252.245,LESS
1,68,2,987.2449999999999,2252.245,LESS
1,69,0,3.0,2083.424,LESS
1,69,1,1122.0,2083.424,LESS
1,69,2,958.424,2083.424,LESS
1,70,0,266.0,4155.502,LESS
1,70,1,1036.0,4155.502,LESS
1,70,2,804.0,4155.502,LESS
1,70,1,1572.0,4155.502,LESS
1,70,2,477.5020000000004,4155.502,LESS
1,71,0,269.0,2550.939,LESS
1,71,1,1078.0,2550.939,LESS
1,71,2,790.0,2550.939,LESS
1,71,1,413.93899999999985,2550.939,LESS
1,72,0,75.0,5814.5509999999995,LESS
1,72,1,2346.0,5814.5509999999995,LESS
1,72,2,820.0,5814.5509999999995,LESS
1,72,1,2036.0,5814.5509999999995,LESS
1,72,2,537.5509999999995,5814.5509999999995,LESS
1,73,0,116.0,1428.2879999999998,LESS
